comarca,serventia,codigo_serventia,colunas_nao_correspondentes
GOIANIA,2a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78750,
GOIANIA,4a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78751,
GOIANIA,9a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78753,
GOIANIA,3a VARA DE EXECUCAO PENAL,78754,
GOIANIA,1a VARA DE SUCESSOES,78804,
GOIANIA,1o JUIZADO DA INFANCIA E DA JUVENTUDE DAS CAUSAS CIVEIS E QUESTOES ADM. AFINS,78884,
GOIANIA,2o JUIZADO DA INFANCIA E DA JUVENTUDE DAS CAUSAS INFRACIONAIS QUESTOES ADM. AFINS,78885,
ANAPOLIS,5a VARA CRIMINAL,78893,
ANAPOLIS,JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,79250,
AGUAS LINDAS DE GOIAS,3a VARA CRIMINAL (CRIMES EM GERAL),79331,
ANAPOLIS,VARA REGIONAL DE EXECUCAO PENAL,79332,
APARECIDA DE GOIANIA,3o JUIZADO ESPECIAL CIVEL,79333,
CALDAS NOVAS,"3a VARA (CIVEL, FAZENDA PUBLICA MUNICIPAL E AMBIENTAL)",79335,
CALDAS NOVAS,2a VARA CRIMINAL (CRIMES EM GERAL),79336,
CALDAS NOVAS,3a VARA CRIMINAL (CRIMES EM GERAL),79337,
FORMOSA,3a VARA CIVEL E FAMILIA E SUCESSOES,79340,
FORMOSA,3a VARA CRIMINAL (CRIMES EM GERAL E VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER),79341,
FORMOSA,VARA REGIONAL DE EXECUCAO PENAL,79342,
GOIANESIA,"2a VARA CIVEL, AMBIENTAL E FAMILIA E SUCESSOES",79343,
LUZIANIA,1deg JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,79348,
LUZIANIA,2a VARA DE FAMILIA E SUCESSOES,79350,
TRINDADE,2a VARA CRIMINAL (CRIMES EM GERAL),79353,
VALPARAISO DE GOIAS,2a VARA CRIMINAL (CRIMES EM GERAL),79355,
GOIANIA,2a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79426,
GOIANIA,1a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79427,
GOIANIA,4a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79428,
GOIANIA,3a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79429,
POSSE,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO ESPECIAL CRIMINAL)",79430,
PLANALTINA,2a VARA CRIMINAL (CRIMES EM GERAL),79701,
RIO VERDE,3a VARA CRIMINAL (CRIMES EM GERAL),79783,
GOIANIA,"1a VARA DOS FEITOS RELATIVOS A DELITOS PRATICADOS POR ORGANIZACAO CRIMINOSA E DE LAVAGEM OU OCULTACAO DE BENS, DIREITOS E VALORES",81023,
RIO VERDE,2a VARA DE FAMILIA E SUCESSOES,81188,
ITABERAI,"2a VARA CIVEL, FAMILIA E SUCESSOES, DAS FAZENDAS PUBLICAS E REGISTROS PUBLICOS",81236,
ACREUNA,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81436,
ACREUNA,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81437,
ANICUNS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81438,
ANICUNS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81439,
ARAGARCAS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81440,
ARAGARCAS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81441,
BOM JESUS DE GOIAS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81442,
BOM JESUS DE GOIAS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81443,
